TF,Targets
ATF1,SPRYD4
ATF1,RPS6KB2
ATF1,UBE2Q1
ATF1,FAM118B
ATF1,HMGCR
ATF1,RPL26L1
ATF1,POLDIP3
ATF1,CCDC189
ATF1,TTC17
ATF1,ACBD4
ATF1,GNS
ATF1,VAMP2
ATF1,CRLF3
ATF1,AAAS
ATF1,MTURN
ATF1,BRAF
ATF1,ABCE1
ATF1,ATG5
ATF1,GLOD4
ATF1,WDR4
ATF1,NR1H2
ATF1,SCYL2
ATF1,C17orf49
ATF1,ZNF593
ATF1,TRMT112
ATF1,WDR24
ATF1,NUP107
ATF1,PPP4C
ATF1,RNPS1
ATF1,COPS8
ATF1,ANKH
ATF1,THRAP3
ATF1,SRSF5
ATF1,CSNK1A1
ATF1,PRPSAP1
ATF1,RMND1
ATF1,FAM24B
ATF1,USB1
ATF1,KRR1
ATF1,SMAD9
ATF1,MVB12A
ATF1,CLPX
ATF1,ZNF584
ATF1,RSF1
ATF1,LPCAT3
ATF1,GAR1
ATF1,CHURC1
ATF1,GNL3
ATF1,DDX5
ATF1,GLIPR1
ATF1,MT2A
ATF1,DDI2
ATF1,PUF60
ATF1,ELMO2
ATF1,NUFIP1
ATF1,R3HCC1L
ATF1,CADPS
ATF1,HIST1H3A
ATF1,EIF5B
ATF1,CAPZB
ATF1,SMARCE1
ATF1,FAM168B
ATF1,ATG13
ATF1,PPP1R8
ATF1,SIRT2
ATF1,GRPEL2
ATF1,PDGFD
ATF1,PFDN2
ATF1,RBPJ
ATF1,CSDE1
ATF1,DPH2
ATF1,NGDN
ATF1,DCAKD
ATF1,PTPDC1
ATF1,TUBB3
ATF1,JADE3
ATF1,BRWD3
ATF1,STYXL1
ATF1,CCDC66
ATF1,STX3
ATF1,PELI3
ATF1,INO80C
ATF1,CEP164
ATF1,ZBTB7B
ATF1,WDR43
ATF1,MAP2K2
ATF1,NAIF1
ATF1,CCAR1
ATF1,RPS21
ATF1,WDR18
ATF1,VPS13A
ATF1,RNF139
ATF1,ILF2
ATF1,LAMTOR3
ATF1,AP1AR
ATF1,PACSIN3
ATF1,ACAA2
ATF1,DCTD
ATF1,TMEM259
ATF1,SAFB
ATF1,BPTF
ATF1,UBE2N
ATF1,SDCBP
ATF1,WRAP73
ATF1,LACTB
ATF1,MTF1
ATF1,SLC20A2
ATF1,VDAC1
ATF1,ODC1
ATF1,MDM4
ATF1,PAPOLA
ATF1,PRR14
ATF1,RICTOR
ATF1,VPS52
ATF1,SOAT1
ATF1,B3GALNT1
ATF1,DNAJC16
ATF1,KCNG1
ATF1,CDC40
ATF1,PDRG1
ATF1,RFESD
ATF1,DRAM1
ATF1,METTL5
ATF1,SNHG7
ATF1,B3GLCT
ATF1,HNRNPA0
ATF1,PPIL1
ATF1,CLP1
ATF1,KBTBD4
ATF1,PIGF
ATF1,AAMP
ATF1,CIR1
ATF1,INTS10
ATF1,NOP2
ATF1,AMPD3
ATF1,SLC16A1
ATF1,PREPL
ATF1,ZNF428
ATF1,CDC123
ATF1,SFXN1
ATF1,HMBOX1
ATF1,SCAMP3
ATF1,TMEM267
ATF1,PPIL2
ATF1,PCBP1
ATF1,TOR1AIP2
ATF1,PPP1CB
ATF1,C1orf109
ATF1,AFG3L2
ATF1,UBAC2-AS1
ATF1,HIST1H2AE
ATF1,ANXA5
ATF1,TIMM17A
ATF1,MLX
ATF1,UTP4
ATF1,TMCO4
ATF1,HSPA2
ATF1,SCO1
ATF1,HELQ
ATF1,ZDHHC14
ATF1,ARHGEF2
ATF1,RPS27A
ATF1,BBX
ATF1,USP51
ATF1,HIST1H2AJ
ATF1,NFKBIZ
ATF1,NUS1
ATF1,CDC16
ATF1,HNRNPC
ATF1,TCERG1
ATF1,KIF16B
ATF1,NCOA1
ATF1,EIF4EBP1
ATF1,GADD45A
ATF1,EIF5A2
