geneset genes
dissociation_genes WAC
dissociation_genes ZC3H12A
dissociation_genes ZFAND5
dissociation_genes ZFP36
dissociation_genes ZFP36L1
dissociation_genes ZFP36L2
dissociation_genes ZYX
CD40_basso_genes ADAM8
CD40_basso_genes ARHGEF2
CD40_basso_genes ARID5B
CD40_basso_genes BATF
CD40_basso_genes BCL2
CD40_basso_genes BCL2A1
CD40_basso_genes CAPG
CD40_basso_genes CCL22
CD40_basso_genes CCL3
CD40_basso_genes CCL4
CD40_basso_genes CCR7
CD40_basso_genes CD40
CD40_basso_genes CD44
CD40_basso_genes CD58
CD40_basso_genes CD74
CD40_basso_genes CD83
CD40_basso_genes CFLAR
CD40_basso_genes CHD1
CD40_basso_genes CR2
CD40_basso_genes CXCR5
CD40_basso_genes DDIT4
CD40_basso_genes DTX2
CD40_basso_genes DUSP2
CD40_basso_genes EHD1
CD40_basso_genes ELL2
CD40_basso_genes ELOA
CD40_basso_genes FCMR
CD40_basso_genes GADD45B
CD40_basso_genes GPR183
CD40_basso_genes HLA-DMA
CD40_basso_genes HLA-DPB1
CD40_basso_genes HLA-DQA1
CD40_basso_genes HLA-DQB1
CD40_basso_genes HLA-DRB1
CD40_basso_genes HLA-DRB4
CD40_basso_genes HLA-F
CD40_basso_genes HSP90B1
CD40_basso_genes HTR3A
CD40_basso_genes ICAM1
CD40_basso_genes ICOSLG
CD40_basso_genes IER3
CD40_basso_genes IFI30
CD40_basso_genes IGHG1
CD40_basso_genes IL1B
CD40_basso_genes IRF4
CD40_basso_genes IRF5
CD40_basso_genes IRF9
CD40_basso_genes JUNB
CD40_basso_genes KCNN4
CD40_basso_genes KRT7
CD40_basso_genes LAPTM5
CD40_basso_genes LGALS1
CD40_basso_genes LHFPL2
CD40_basso_genes LITAF
CD40_basso_genes LRRC32
CD40_basso_genes LTA
CD40_basso_genes LYN
CD40_basso_genes MAP3K8
CD40_basso_genes MAPKAPK2
CD40_basso_genes MEF2C
CD40_basso_genes MTMR4
CD40_basso_genes MYB
CD40_basso_genes NCF2
CD40_basso_genes NCKAP1L
CD40_basso_genes NEFM
CD40_basso_genes NFKB2
CD40_basso_genes NFKBIA
CD40_basso_genes NFKBIE
CD40_basso_genes PHACTR1
CD40_basso_genes PIK3CD
CD40_basso_genes PLEK
CD40_basso_genes PLXNC1
CD40_basso_genes PTK2B
CD40_basso_genes PTP4A3
CD40_basso_genes PTPRE
CD40_basso_genes RAB27A
CD40_basso_genes RAC2
CD40_basso_genes RGS1
CD40_basso_genes RNF115
CD40_basso_genes RXRA
CD40_basso_genes SH2B3
CD40_basso_genes SIK1
CD40_basso_genes SLAMF1
CD40_basso_genes SNN
CD40_basso_genes SRGN
CD40_basso_genes STAT1
CD40_basso_genes STAT5A
CD40_basso_genes STK10
CD40_basso_genes SYNGR2
CD40_basso_genes TAP1
CD40_basso_genes TCFL5
CD40_basso_genes TMC6
CD40_basso_genes TMSB4X
CD40_basso_genes TNF
CD40_basso_genes TNFAIP2
CD40_basso_genes TNFAIP3
CD40_basso_genes TNFAIP8
CD40_basso_genes TNFSF9
CD40_basso_genes TRAF1
CD40_basso_genes TRIP10
CD40_basso_genes UNC119
CD40_basso_genes VOPP1
