"final_gene_name"	"Z-score"	"Enriched in"	"affy_hg_u133_plus_2"
"328"	"CCL3L3"	2.452	"LZ"	"205114_s_at"
"329"	"SLAMF1"	2.451	"LZ"	"1555626_a_at"
"330"	"DUSP10"	2.446	"LZ"	"215501_s_at"
"331"	"PLEK"	2.435	"LZ"	"203471_s_at"
"332"	"---"	2.418	"LZ"	"244887_at"
"333"	"GMDS"	2.417	"LZ"	"214106_s_at"
"334"	"SSTR2"	2.399	"LZ"	"214597_at"
"335"	"GMDS"	2.396	"LZ"	"204875_s_at"
"336"	"C1orf115"	2.386	"LZ"	"218546_at"
"337"	"FMNL2"	2.376	"LZ"	"226184_at"
"338"	"SLC19A1"	2.373	"LZ"	"211576_s_at"
"339"	"CD58"	2.368	"LZ"	"216942_s_at"
"340"	"BTN3A3"	2.367	"LZ"	"204821_at"
"341"	"HLA-DOA"	2.365	"LZ"	"226878_at"
"342"	"HLA-DOA"	2.365	"LZ"	"226878_at"
"343"	"HLA-DOA"	2.365	"LZ"	"226878_at"
"344"	"HLA-DOA"	2.365	"LZ"	"226878_at"
"345"	"HLA-DOA"	2.365	"LZ"	"226878_at"
"346"	"HLA-DOA"	2.365	"LZ"	"226878_at"
"347"	"HLA-DOA"	2.365	"LZ"	"226878_at"
"348"	"CYTH4"	2.364	"LZ"	"1554335_at"
"349"	"RHEX"	2.355	"LZ"	"230381_at"
"350"	"---"	2.325	"LZ"	"239908_at"
"351"	"CCL4"	2.323	"LZ"	"204103_at"
"352"	"CCL4"	2.323	"LZ"	"204103_at"
"353"	"CCL4"	2.323	"LZ"	"204103_at"
"354"	"GMDS"	2.321	"LZ"	"234217_at"
"355"	"HDAC9"	2.299	"LZ"	"205659_at"
"356"	"IRF4"	2.296	"LZ"	"204562_at"
"357"	"HLA-F"	2.287	"LZ"	"221978_at"
"358"	"HLA-F"	2.287	"LZ"	"221978_at"
"359"	"HLA-F"	2.287	"LZ"	"221978_at"
"360"	"HLA-F"	2.287	"LZ"	"221978_at"
"361"	"HLA-F"	2.287	"LZ"	"221978_at"
"362"	"HLA-F"	2.287	"LZ"	"221978_at"
"363"	"RAI1"	2.275	"LZ"	"226143_at"
"364"	"NR4A1"	2.272	"LZ"	"202340_x_at"
"365"	"CD44"	2.267	"LZ"	"212014_x_at"
"366"	"ITGB2"	2.232	"LZ"	"1555349_a_at"
"367"	"GBP1"	2.189	"LZ"	"202270_at"
"368"	"TBL1X"	2.174	"LZ"	"213400_s_at"
"369"	"PHACTR1"	2.174	"LZ"	"213638_at"
"370"	"RGL3"	2.171	"LZ"	"228877_at"
"371"	"CD44"	2.168	"LZ"	"1557905_s_at"
"372"	"SGPP2"	2.129	"LZ"	"238567_at"
"373"	"SUB1"	2.124	"LZ"	"224586_x_at"
"374"	"ARMH1"	2.121	"LZ"	"238365_s_at"
"375"	"ADAM8"	2.115	"LZ"	"205180_s_at"
"376"	"POLR1A"	2.105	"LZ"	"228515_at"
"377"	"NABP1"	2.104	"LZ"	"233085_s_at"
"378"	"BMI1"	2.092	"LZ"	"202265_at"
"379"	"PHACTR1"	2.085	"LZ"	"226397_s_at"
"380"	"HES1"	2.072	"LZ"	"203394_s_at"
"381"	"ICAM2"	2.07	"LZ"	"213620_s_at"
"382"	"PHACTR1"	2.066	"LZ"	"232045_at"
"383"	"HSP90B1"	2.061	"LZ"	"200599_s_at"
"384"	"MAPKAPK3"	2.053	"LZ"	"202788_at"
"385"	"AL132656.4"	2.039	"LZ"	"1553354_a_at"
"386"	"CD72"	2.02	"LZ"	"215925_s_at"
"387"	"LINC02099"	1.975	"LZ"	"1569099_at"
"388"	"CCDC151"	1.957	"LZ"	"230807_at"
"389"	"HES1"	1.844	"LZ"	"203395_s_at"
"390"	"RHOBTB3"	1.746	"LZ"	"202975_s_at"
"391"	"AC018755.2"	1.635	"LZ"	"220000_at"
"392"	"SIGLEC5"	1.635	"LZ"	"220000_at"
"393"	"CCNB1"	-17.285	"DZ"	"228729_at"
"394"	"CCNB2"	-14.519	"DZ"	"202705_at"
"395"	"AURKA"	-13.914	"DZ"	"208079_s_at"
"396"	"CENPE"	-13.714	"DZ"	"205046_at"
"397"	"CENPA"	-13.191	"DZ"	"204962_s_at"
"398"	"CCNA2"	-13.085	"DZ"	"213226_at"
"399"	"BUB1"	-12.82	"DZ"	"209642_at"
"400"	"CEP55"	-12.497	"DZ"	"218542_at"
"401"	"NUF2"	-12.234	"DZ"	"223381_at"
"402"	"CENPF"	-12.1	"DZ"	"207828_s_at"
