TF	Targets
ATF6	ABCB8
ATF6	ABCB9
ATF6	ABCC4
ATF6	ABCF3
ATF6	ACADVL
ATF6	ACBD3
ATF6	ACO2
ATF6	ACOX1
ATF6	ACSL3
ATF6	ACSL4
ATF6	ACSS1
ATF6	ACTR6
ATF6	ACY3
ATF6	ACYP2
ATF6	ADAM10
ATF6	ADAR
ATF6	ADCK1
ATF6	ADI1
ATF6	ADIPOR1
ATF6	AFF4
ATF6	AGA
ATF6	AGPAT3
ATF6	AK3
ATF6	AKR1A1
ATF6	AKT1S1
ATF6	ALDH18A1
ATF6	ALDH1L2
ATF6	ALG1
ATF6	ALG10B
ATF6	ALG11
ATF6	ALG12
ATF6	ALG13
ATF6	ALG14
ATF6	ALG2
ATF6	ALG3
ATF6	ANAPC13
ATF6	ANAPC5
ATF6	ANKHD1
ATF6	ANKRD28
ATF6	ANKRD37
ATF6	ANKZF1
ATF6	ANO9
ATF6	ANXA5
ATF6	ANXA6
ATF6	ANXA7
ATF6	AP3D1
ATF6	APH1B
ATF6	APMAP
ATF6	AQP3
ATF6	AREG
ATF6	ARF4
ATF6	ARFGAP1
ATF6	ARFGAP3
ATF6	ARFGEF2
ATF6	ARFIP2
ATF6	ARHGAP18
ATF6	ARHGAP27
ATF6	ARID3A
ATF6	ARL1
ATF6	ARL4A
ATF6	ARL5A
ATF6	ARMCX3
ATF6	ARRDC3
ATF6	ARSA
ATF6	ASAH1
ATF6	ASXL1
ATF6	ATF6
ATF6	ATG101
ATF6	ATP13A1
ATF6	ATP2A2
ATF6	ATP2A3
ATF6	ATP6AP1
ATF6	ATP6AP2
ATF6	ATP6V0A1
ATF6	ATP6V0B
ATF6	ATP6V0E1
ATF6	ATP8B2
ATF6	ATRAID
ATF6	AURKAIP1
ATF6	B3GALNT1
ATF6	B3GNTL1
ATF6	B4GALT1
ATF6	B4GALT3
ATF6	B4GALT4
ATF6	BAG3
ATF6	BAZ2A
ATF6	BCAP31
ATF6	BCKDK
ATF6	BET1
ATF6	BET1L
ATF6	BEX5
ATF6	BHLHE41
ATF6	BIRC2
ATF6	BLM
ATF6	BLVRA
ATF6	BORCS5
ATF6	BORCS6
ATF6	BRAP
ATF6	BSDC1
ATF6	BSG
ATF6	BTAF1
ATF6	BTG2
ATF6	C11orf24
ATF6	C11orf80
ATF6	C15orf61
ATF6	C17orf107
ATF6	C18orf32
ATF6	C19orf24
ATF6	C19orf70
ATF6	C19orf81
ATF6	C1GALT1C1
ATF6	C21orf2
ATF6	C2orf88
ATF6	C4orf3
ATF6	C4orf48
ATF6	C5orf15
ATF6	C6orf52
ATF6	CA11
ATF6	CALCOCO1
ATF6	CALR
ATF6	CALU
ATF6	CANX
ATF6	CASP3
ATF6	CASP4
ATF6	CAST
ATF6	CBFA2T2
ATF6	CBFA2T3
ATF6	CBWD1
ATF6	CBWD5
ATF6	CBX4
ATF6	CBX7
ATF6	CCDC144A
ATF6	CCDC167
ATF6	CCDC186
ATF6	CCDC47
ATF6	CCL25
ATF6	CCM2
ATF6	CCNC
ATF6	CCNL1
ATF6	CCPG1
ATF6	CCR10
ATF6	CCS
ATF6	CCT8
ATF6	CD164
ATF6	CD320
ATF6	CD38
ATF6	CD55
ATF6	CD63
ATF6	CDC37
ATF6	CDIP1
ATF6	CDK2AP2
ATF6	CDKN1A
ATF6	CDKN1B
ATF6	CDR2
ATF6	CDV3
ATF6	CEBPB
ATF6	CERS2
ATF6	CFL2
ATF6	CHCHD2
ATF6	CHID1
ATF6	CHPF
ATF6	CHPF2
ATF6	CHRNB1
ATF6	CHST11
ATF6	CHST12
ATF6	CHST2
ATF6	CHUK
ATF6	CINP
ATF6	CISD2
ATF6	CITED2
ATF6	CKAP4
ATF6	CLASP2
ATF6	CLCC1
ATF6	CLCN7
ATF6	CLDN14
ATF6	CLEC2B
ATF6	CLINT1
ATF6	CLPTM1
ATF6	CLPTM1L
ATF6	CNBP
ATF6	CNOT11
ATF6	CNPY2
ATF6	COASY
ATF6	COG3
ATF6	COMMD1
ATF6	COMMD3
ATF6	COPB2
ATF6	COPE
ATF6	COPG1
ATF6	COPZ1
ATF6	COQ10B
ATF6	COQ6
ATF6	COX6A1
ATF6	CPEB4
ATF6	CRADD
ATF6	CREB3
ATF6	CRELD2
ATF6	CRLS1
ATF6	CSAD
ATF6	CSGALNACT2
ATF6	CSNK1E
ATF6	CTBS
ATF6	CTHRC1
ATF6	CTNNA1
ATF6	CTSA
ATF6	CTSB
ATF6	CTSD
ATF6	CUL1
ATF6	CUTA
ATF6	CYB561D2
ATF6	CYB5R1
ATF6	CYCS
ATF6	CYTIP
ATF6	DAD1
ATF6	DAP
ATF6	DAPL1
ATF6	DCTN3
ATF6	DDB1
ATF6	DDIT4
ATF6	DDX31
ATF6	DDX55
ATF6	DEDD2
ATF6	DEF6
ATF6	DENND1B
ATF6	DENND6B
ATF6	DERL1
ATF6	DERL3
ATF6	DESI1
ATF6	DHDDS
ATF6	DHRS7
ATF6	DHRS9
ATF6	DNAJA2
ATF6	DNAJB11
ATF6	DNAJB12
ATF6	DNAJB9
ATF6	DNAJC1
ATF6	DNAJC10
ATF6	DNAJC12
ATF6	DNAJC25
ATF6	DNAJC3
ATF6	DNAJC4
ATF6	DNASE2
ATF6	DNHD1
ATF6	DOHH
ATF6	DPAGT1
ATF6	DPM2
ATF6	DPM3
ATF6	DPP7
ATF6	DUSP12
ATF6	DUSP22
ATF6	DUSP5
ATF6	DYNLL2
ATF6	DYRK4
ATF6	EAF2
ATF6	EBAG9
ATF6	EDEM1
ATF6	EDEM2
ATF6	EDF1
ATF6	EEF1D
ATF6	EIF2A
ATF6	EIF3A
ATF6	EIF3K
ATF6	ELK3
